Change%,Company,Company2,Price,Volume,Low,High
▼ -3.59%,EDNT,"Edison Nation, Inc",3.49,114200,3.45,3.61
▼ -3.52%,SOLO,Electrameccanica Vehicles Corp,3.29,3939900,3.21,3.44
▲ 2.16%,LOCO,"El Pollo Loco Holdings, Inc",16.1,261858,15.62,16.17
▲ 3.42%,EFOI,"Energy Focus, Inc",5.295,30376,5.22,5.33
▲ 0.74%,ELA,Envela Corporation,4.1,105345,3.96,4.21
▼ -1.62%,ESCA,"Escalade, Incorporated",15.2,34310,15.1403,15.47
0.00%,GMBL,Esports Entertainment Group Inc,5.75,116911,5.61,5.81
▼ -1.93%,ETH,Ethan Allen Interiors Inc,11.71,300204,11.6,12.12
▼ -0.85%,ETSY,"Etsy, Inc",101.59,1378700,97.5,102.73
0.00%,EVK,"Ever-Glory International Group, Inc",1.2,20222,1.19,1.26
▼ -4.87%,EVRI,Everi Holdings Inc,5.66,3411800,5.65,5.9
▼ -1.70%,EXPE,"Expedia Group, Inc",83.72,2502900,83.29,85.6
▼ -2.42%,EXPR,"Express, Inc",1.21,1473112,1.18,1.26
▲ 0.44%,STAY,"Extended Stay America, Inc",11.36,982511,11.045,11.405
▼ -0.33%,FTCH,Farfetch Limited,21.37,6866000,20.18,21.67
▲ 3.33%,FAT,FAT Brands Inc,3.41,2200,3.38,3.475
▼ -1.64%,RACE,Ferrari N.V,179.19,129400,178.3,180.41
▼ -0.38%,FCAU,Fiat Chrysler Automobiles N.V,10.51,1854363,10.46,10.57
▼ -2.15%,FRGI,"Fiesta Restaurant Group, Inc",6.385,182265,6.26,6.53
▲ 0.95%,FIVE,"Five Below, Inc",110.18,679652,108.06,111.67
0.00%,BDL,"Flanigan's Enterprises, Inc",14.6,0,14.6,14.6
▼ -2.46%,FLXS,"Flexsteel Industries, Inc",14.67,36838,14.48,14.94
▲ 1.92%,FND,"Floor & Decor Holdings, Inc",67.82,1073800,65.2,68.12
▼ -3.62%,FL,"Foot Locker, Inc",29.82,2787627,29.69,31.28
▼ -1.43%,F,Ford Motor Company,6.88,62292045,6.86,7.01
▼ -2.82%,FRSX,Foresight Autonomous Holdings Ltd,1.38,1240292,1.32,1.39
0.00%,FBHS,"Fortune Brands Home & Security, Inc",71,821952,70.09,71.28
▼ -0.79%,FORD,"Forward Industries, Inc",1.25,24196,1.25,1.2906
▼ -2.52%,FOSL,"Fossil Group, Inc",3.87,571500,3.85,4.01
▼ -0.21%,FOXF,Fox Factory Holding Corp,85.96,231085,81.881,88.34
▼ -5.70%,FRAN,Francesca's Holdings Corporation,4.47,144400,4.31,4.64
▼ -0.70%,FRG,Franchise Group Inc. Class A,22.66,143500,22.03,23.3
▼ -4.52%,FTDR,"frontdoor, inc",42,993700,41.82,44.44
▼ -0.50%,FORK,Fuling Global Inc,2.01,104400,1.96,2.15
0.00%,FLL,"Full House Resorts, Inc",1.35,42365,1.35,1.39
▼ -4.83%,FNKO,"Funko, Inc",5.71,936900,5.67,6.02
▼ -1.74%,FFHL,"Fuwei Films (Holdings) Co., Ltd",5.65,151647,5.6,6.06
▼ -1.95%,GME,GameStop Corp,4.03,2202959,4.01,4.23
▼ -1.72%,GAN,GAN Limited,22.9,1300300,21.62,23.6
▼ -2.20%,GTX,Garrett Motion Inc,7.12,611700,6.87,7.36
▼ -1.91%,GM,General Motors Company,26.25,7913845,26.11,26.875
▼ -3.84%,GCO,Genesco Inc,18.27,451000,18.22,19.2
▲ 0.04%,GNTX,Gentex Corporation,26.29,3642467,25.34,26.6
▼ -0.83%,THRM,Gentherm Incorporated,39.57,102733,39.29,40.36
▲ 0.20%,GPC,Genuine Parts Company,88.64,661069,88.05,89.98
▼ -5.83%,GIII,"G-III Apparel Group, Ltd",11.15,734360,11.13,11.96
▼ -1.82%,GIL,Gildan Activewear Inc,16.69,355820,16.58,16.98
▼ -1.01%,GDEN,"Golden Entertainment, Inc",8.78,116100,8.57,8.92
▼ -2.52%,GTIM,Good Times Restaurants Inc,1.16,18300,1.15,1.19
▲ 0.42%,GPK,Graphic Packaging Holding Company,14.37,2759927,14.275,14.435
