Change%,Company,Company2,Price,Volume,Low,High
▼ -0.54%,PIPR,Piper Sandler Companies,62.7,470,62.7,62.7
▼ -2.83%,BPOP,"Popular, Inc",37.39,31287,37.34,38.38
▼ -1.01%,PRAA,"PRA Group, Inc",39.39,2592,39.39,39.8
▼ -2.73%,PFBC,Preferred Bank,39.21,1725,39.21,40.71
▲ 0.36%,PFC,Premier Financial Corp.,16.66,18202,16.6,16.8
▼ -2.17%,PFG,"Principal Financial Group, Inc",43.8,51907,43.8,44.54
▼ -2.19%,PRA,ProAssurance Corporation,15.15,5113,15.15,15.19
▼ -2.48%,PB,"Prosperity Bancshares, Inc",54.945,9778,54.92,56.09
▼ -1.94%,PFS,"Provident Financial Services, Inc",14.14,9581,14.09,14.345
▼ -2.56%,PRU,"Prudential Financial, Inc",63.25,250556,63.055,64.155
▲ 0.93%,PUK,Prudential plc,29.705,5,29.705,29.705
▲ 2.71%,QD,Qudian Inc,1.705,124355,1.7,1.715
▼ -2.85%,RDN,Radian Group Inc,13.825,124165,13.82,14.18
▼ -2.30%,RJF,"Raymond James Financial, Inc",70.46,48224,70.355,72.01
▼ -2.52%,RF,Regions Financial Corporation,10.645,836888,10.61,10.785
▼ -1.31%,RGA,"Reinsurance Group of America, Incorporated",86.145,61565,86.105,86.47
▼ -1.29%,RNR,RenaissanceRe Holdings Ltd,177.82,2816,177.82,179.205
▼ -1.21%,RNST,Renasant Corporation,23.66,1803,23.5,23.66
▲ 0.94%,RBCAA,"Republic Bancorp, Inc",31.08,753,31.08,31.09
▲ 3.70%,FRBK,"Republic First Bancorp, Inc",2.24,0,2.24,2.24
▼ -0.36%,RLI,RLI Corp,90.94,0,90.94,90.94
▼ -0.77%,RY,Royal Bank of Canada,69.3,64077,69.3,69.83
▲ 0.20%,SAFT,"Safety Insurance Group, Inc",76.27,1018,76.27,76.27
▼ -2.95%,SASR,"Sandy Spring Bancorp, Inc",23.225,6006,23.225,23.56
▼ -2.84%,SC,Santander Consumer USA Holdings Inc,17.615,21447,17.6,17.63
▼ -1.32%,SBCF,Seacoast Banking Corporation of Florida,20.25,6916,20.25,20.25
▼ -0.40%,SEIC,SEI Investments Company,52.76,6667,52.76,53.005
▼ -1.21%,SIGI,"Selective Insurance Group, Inc",57.09,7416,56.69,57.91
▼ -3.65%,SLQT,SelectQuote Inc,19.27,120565,18.44,19.41
▼ -1.97%,SFBS,"ServisFirst Bancshares, Inc",36.485,3093,36.485,37.185
▼ -2.92%,SBNY,Signature Bank,106.385,4029,106.385,106.385
▲ 3.09%,SI,Silvergate Capital Corp. Class A,14.33,23931,14.285,14.33
▼ -2.82%,SFNC,Simmons First National Corporation,16.885,25600,16.875,16.91
▲ 0.07%,SLM,SLM Corporation,6.985,318806,6.92,6.99
▲ 1.80%,IPOB,Social Capital Hedosophia Holdings Corp. II Class A,12.14,150314,12.09,12.155
▲ 3.52%,IPOC,Social Capital Hedosophia Holdings Corp. III Class A,11.46,262231,11.145,11.59
▼ -0.37%,SLRC,Solar Capital Ltd,16.12,2718,16.12,16.12
▼ -1.03%,SUNS,Solar Senior Capital Ltd,12.51,435,12.51,12.51
▼ -0.51%,SONA,"Southern National Bancorp of Virginia, Inc",8.775,1143,8.775,8.775
▼ -3.16%,SSB,South State Corporation,47.645,8642,47.645,47.645
▲ 2.54%,SPAQ,Spartan Energy Acquisition Corp,13.7,763576,13.675,13.84
▲ 0.46%,SPGI,S&P Global Inc,351.58,88872,349.795,352.39
▲ 3.41%,CEF,Sprott Physical Gold and Silver Trust,19.575,440326,19.515,19.59
▲ 1.81%,PHYS,Sprott Physical Gold Trust,15.475,815354,15.47,15.49
▲ 6.33%,PSLV,Sprott Physical Silver Trust,8.815,1515431,8.755,8.815
▼ -1.91%,STT,State Street Corporation,61.16,142017,60.82,61.39
▲ 0.09%,STBA,"S&T Bancorp, Inc",23.4,1158,23.4,23.4
▼ -2.27%,STL,Sterling Bancorp,11.425,434854,11.255,11.495
▲ 5.66%,STC,Stewart Information Services Corporation,39.76,9988,39.33,39.76
▼ -2.23%,SF,Stifel Financial Corp,46.93,8219,46.93,47.55
▲ 0.98%,SMFG,"Sumitomo Mitsui Financial Group, Inc",5.675,55196,5.665,5.675
▼ -0.53%,SLF,Sun Life Financial Inc,39.42,38341,39.36,39.56
▲ 0.90%,SSSS,Sutter Rock Capital Corp,13.45,109215,13.45,13.68
▼ -1.12%,SIVB,SVB Financial Group,227.84,43705,227.47,230.15
▼ -2.38%,SYF,Synchrony Financial,23,402521,22.895,23.4
▼ -3.32%,SNV,Synovus Financial Corp,20.215,83077,20.115,20.56
▼ -2.93%,TCF,TCF Financial Corporation,27.86,39288,27.85,28.59
▼ -2.44%,AMTD,TD Ameritrade Holding Corporation,36.85,180453,36.74,37.18
▼ -2.68%,TCBI,"Texas Capital Bancshares, Inc",30.47,36882,30.43,30.965
▼ -1.43%,TFSL,TFS Financial Corporation,13.79,5119,13.79,13.79
▼ -1.80%,ALL,The Allstate Corporation,92.66,71378,92.45,93.56
▼ -1.41%,TBBK,"The Bancorp, Inc",8.725,17144,8.725,8.77
▼ -2.54%,BK,The Bank of New York Mellon Corporation,35.31,440594,35.275,35.905
▼ -1.20%,BNS,The Bank of Nova Scotia,40.885,78442,40.885,41.265
▼ -1.74%,NTB,The Bank of N.T. Butterfield & Son Limited,26.325,20294,26.24,26.325
▼ -1.19%,BX,The Blackstone Group Inc,55.035,274424,54.87,55.5
▼ -0.42%,CG,The Carlyle Group L.P,28.59,14357,28.59,28.625
▼ -2.70%,SCHW,The Charles Schwab Corporation,33.995,868919,33.84,34.645
▼ -0.39%,FBMS,"The First Bancshares, Inc",20.37,492,20.37,20.37
▼ -0.67%,GS,"The Goldman Sachs Group, Inc",200.13,355478,199.66,201.875
▼ -2.58%,HIG,"The Hartford Financial Services Group, Inc",40.41,127339,40.33,40.94
▼ -2.54%,PNC,"The PNC Financial Services Group, Inc",104.13,160082,104.13,105.02
▼ -1.03%,PGR,The Progressive Corporation,86.955,130788,86.85,87.91
▼ -1.05%,TD,The Toronto-Dominion Bank,44.575,152789,44.575,44.9
▼ -1.70%,TRV,"The Travelers Companies, Inc",116.265,103644,116.08,117.755
▲ 0.42%,WU,The Western Union Company,22.565,520061,22.345,22.565
▼ -0.74%,TPRE,Third Point Reinsurance Ltd,8.05,3282,8.05,8.05
▲ 5.87%,SHLL,Tortoise Acquisition Corp,19.025,517740,18.56,19.235
▼ -1.48%,TOWN,TowneBank,17.98,5893,17.98,18
▼ -0.18%,TSLX,"TPG Specialty Lending, Inc",16.98,24149,16.98,16.98
▲ 0.48%,TW,Tradeweb Markets Inc,54.75,11095,54.32,54.75
▲ 0.38%,TPVG,TriplePoint Venture Growth BDC Corp,10.59,879,10.59,10.59
▼ -2.65%,TSC,"TriState Capital Holdings, Inc",13.23,877,13.23,13.23
▼ -0.64%,TBK,"Triumph Bancorp, Inc",26.28,0,26.28,26.28
▼ -0.85%,TROW,"T. Rowe Price Group, Inc",132.83,85008,131.98,132.83
▼ -3.54%,TFC,Truist Financial Corporation,36.405,328982,36.405,37.07
▲ 0.28%,TRUP,"Trupanion, Inc",52.85,24173,52.8,53.3
▼ -0.86%,TRMK,Trustmark Corporation,22.94,8815,22.94,23.49
▲ 0.41%,UBS,UBS Group AG,12.22,347737,12.185,12.225
▼ -2.30%,UMBF,UMB Financial Corporation,47.53,4657,47.315,47.89
▼ -2.77%,UMPQ,Umpqua Holdings Corporation,11.045,127397,10.945,11.11
▼ -3.10%,UBSI,"United Bankshares, Inc",27.85,31225,27.77,28.59
▼ -1.98%,UCBI,"United Community Banks, Inc",18.3,9121,18.3,18.3
▼ -0.59%,UFCS,"United Fire Group, Inc",26.81,1435,26.81,26.81
▼ -0.52%,UIHC,United Insurance Holdings Corp,7.68,2667,7.68,7.68
▼ -2.34%,UVSP,Univest Financial Corporation,15.255,1642,15.255,15.715
▼ -1.85%,UNM,Unum Group,17.795,204942,17.7,17.935
▼ -2.83%,TIGR,UP Fintech Holding Limited,5.15,181666,5.14,5.29
▼ -3.35%,USB,U.S. Bancorp,35.685,774608,35.63,36.47
▼ -1.86%,VLY,Valley National Bancorp,7.635,161575,7.635,7.635
▼ -2.66%,VBTX,"Veritex Holdings, Inc",16.265,29192,16.265,16.265
▼ -0.30%,VIRT,"Virtu Financial, Inc",25.235,54230,25.235,25.465
▲ 3.15%,VRTS,"Virtus Investment Partners, Inc",137.98,1023,137.98,137.98
▼ -0.23%,V,Visa Inc,194.705,597067,194.26,195.74
▼ -1.99%,VOYA,"Voya Financial, Inc",48.21,62548,48.115,48.76
▼ -0.40%,WDR,"Waddell & Reed Financial, Inc",14.83,26841,14.75,14.83
▼ -1.89%,WAFD,"Washington Federal, Inc",23.585,15468,23.585,23.995
▼ -0.57%,WSBF,"Waterstone Financial, Inc",13.99,800,13.99,13.99
▼ -3.51%,WBS,Webster Financial Corporation,26.15,20506,26.15,26.23
▼ -2.76%,WFC,Wells Fargo & Company,25.535,5055902,25.44,26.02
▼ -2.33%,WSBC,"WesBanco, Inc",20.15,7578,20.04,20.15
▼ -1.80%,WABC,Westamerica Bancorporation,59.655,10559,59.515,60.29
▼ -3.49%,WAL,Western Alliance Bancorporation,36.75,9776,36.75,36.75
